TaxonId,Organismgrupp,Svenska,Latin,R20,ÅGP,Tu,Si,N2,AD,FD,ASF,0.5,PFS,Ca,SV,Sk,Information
2,Lavar,blek kryptolav,Absconditella delutula,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
3,Lavar,träspricklav,Acarospora anomala,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
5,Kärlväxter,naverlönn,Acer campestre,Akut hotad CR,,,,,,,,,,,L-O,,"Rödlistekriterium 2020: D

Naverlönn kan endast användas som naturvårdsart och betraktas som rödlistad i Skåne vid Torups slott och Södra Lindholmen. Andra förekomster måste betraktas som trädgårdsflyktingar av okänt ursprung.

Signalvärde: Lågt-Obestämt"
6,Kärlväxter,äkta stormhatt,Aconitum napellus,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
8,Kärlväxter,röd trolldruva,Actaea erythrocarpa,Nära hotad NT,,,,x,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,v)

Näringsrik granskog (9050)"
9,Kärlväxter,våradonis,Adonis vernalis,Nära hotad NT,,,,,,,8§,,,,H-MH,,"Rödlistekriterium 2020: B2a

Våradonis (Adonis vernalis) är fridlyst enligt 8 § i hela landet.

Signalvärde: Högt-Mycket högt"
14,Kärlväxter,klätt,Agrostemma githago,Starkt hotad EN,x,,,,,,,,,,L-O,,"Rödlistekriterium 2020: B2ab(i,ii,iii,iv,v)c(iv)

Signalvärde: Lågt-Obestämt"
16,Kärlväxter,vittåtel,Aira caryophyllea,Nära hotad NT,,,,x,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(iii,iv)

Grå dyner (2130)"
17,Kärlväxter,kritsuga,Ajuga genevensis,Akut hotad CR,,,,,,,8§,,,,0-0,,"Rödlistekriterium 2020: B1ab(i,iii,v)+2ab(i,iii,v)

Kritsuga (Ajuga genevensis) är fridlyst enligt 8 § i hela landet."
19,Svampar,grönticka,Albatrellus cristatus,Starkt hotad EN,,,,,,,,,,,MH-MH,,"Rödlistekriterium 2020: D

Signalvärde: Mycket högt

Indikerar varma ek- eller bokskogar av sällsynt typ, där det föreligger mycket långvarig trädkontinuitet och höga naturvärden."
20,Kärlväxter,sjuhörnig daggkåpa,Alchemilla heptagona,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(i,ii,iii,iv,v)"
21,Kärlväxter,stubbdaggkåpa,Alchemilla samuelssonii,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
22,Kärlväxter,skarptandad daggkåpa,Alchemilla oxyodonta,Starkt hotad EN,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v); C2a(i)"
24,Kärlväxter,kustdaggkåpa,Alchemilla xanthochlora,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)"
28,Kärlväxter,grässvalting,Alisma gramineum,Nationellt utdöd RE,,,,,,,,,,,0-0,,
30,Kärlväxter,småsvalting,Alisma wahlenbergii,Nära hotad NT,x,,,,"II, IV",,7§,,,,0-0,,"Rödlistekriterium 2020: B2a

Arten är en prioriterad art enligt art- och habitatdirektivet där den är upptagen i bilaga 2 eftersom den har sådant unionsintresse att särskilda bevarandeområden behöver utses. Arten finns upptagen i bilaga 4 till art- och habitatdirektivet därför att den kräver noggrant skydd."
31,Kärlväxter,rosenlök,Allium carinatum,Nära hotad NT,,,,,,,8§,,,,0-0,,"Rödlistekriterium 2020: B2a

Rosenlök (Allium carinatum) är fridlyst enligt 8 § i hela landet."
32,Kärlväxter,klipplök,Allium lineare,Starkt hotad EN,,,,x,,,8§,,,,0-0,,"Rödlistekriterium 2020: B1ab(iii,v)

Uppspruckna kalkstenshällmarker (8240)

Klipplök (Allium lineare) är fridlyst enligt 8 § i hela landet."
33,Mossor,smal toffelmossa,Aloina aloides,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
34,Mossor,sydlig toffelmossa,Aloina ambigua,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
36,Svampar,gelétryffel,Alpova diplophloeus,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i)
37,Svampar,jättekamskivling,Amanita ceciliae,Nära hotad NT,,,,,,,,,,,P-P,,"Rödlistekriterium 2020: A2c+3c+4c

Signalvärde: Påtagligt

Indikerar kontinuerligt trädbevuxna ädellövmarker på kalkhaltig jord. Ofta har lokalerna haft ett regelmässigt inslag av gamla ädellövträd."
38,Svampar,gulbrämad flugsvamp,Amanita franchetii,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i)
39,Svampar,alflugsvamp,Amanita friabilis,Nära hotad NT,,,,,,,,,,,H-H,,"Rödlistekriterium 2020: A2c+3c+4c; C2a(i)

Signalvärde: Högt

Alflusvamp signalerar alltid albiotoper med höga naturvärden. Indikerar troligen lång trädkontinuitet med al (oftast gråal). Svampen är sällsynt. "
41,Svampar,flockflugsvamp,Amanita strobiliformis,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
45,Svampar,marmorskinn,Athelopsis lacerata,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
46,Svampar,rosa jodskinn,Amylocorticium subincarnatum,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
47,Svampar,gult jodskinn,Amylocorticium subsulphureum,Kunskapsbrist DD,,,,,,,,,,,0-0,,
48,Svampar,lappticka,Amylocystis lapponica,Sårbar VU,,,,x,,,,,,,MH-MH,,"Rödlistekriterium 2020: A2c+3c+4c

Taiga (9010)

Signalvärde: Mycket högt

Indikerar ett biologiskt intakt granskogsekosystem med lång kontinuitet av gran och grova granlågor. Klassad som en ""urskogsindikator"" då den förekommer med ett tydligt optimum i helt eller nästan helt orörda skogar. Allt tyder på att den är mycket känslig för alla former av skogliga ingrepp."
50,Kärlväxter,knutört,Lysimachia minima,Sårbar VU,,,,x,,,,,,,H-H,,"Rödlistekriterium 2020: B2ab(i,ii,iii,iv,v)

Dynvåtmarker (2190)

Signalvärde: Högt"
51,Mossor,snedbladsmossa,Anastrepta orcadensis,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
52,Mossor,fjälltrappmossa,Orthocaulis cavifolius,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,v)"
53,Mossor,vedtrappmossa,Crossocalyx hellerianus,Nära hotad NT,,,,x,,,,,,,P-P,,"Rödlistekriterium 2020: A3c+4c

Taiga (9010)

Signalvärde: Påtagligt

Vedtrappmossa finns huvudsakligen i barrnaturskog med höga naturvärden där den visar på områden som haft en kontinuerlig god tillgång på lågor i olika nedbrytningsstadier"
54,Mossor,skogstrappmossa,Anastrophyllum michauxii,Nära hotad NT,,,,,,,,,,,V-P,,"Rödlistekriterium 2020: C2a(i)

Signalvärde: Visst-Påtagligt

Indikerar ostörd skog på kalkrik mark och tycks kräva kontinuerlig beskuggning."
55,Mossor,myrtrappmossa,Anastrophyllum sphenoloboides,Kunskapsbrist DD,,,,,,,,,,,0-0,,
57,Svampar,gul mjukporing,Anomoloma albolutescens,Akut hotad CR,,,,,,,,,,,O-O,,"Rödlistekriterium 2020: D

Signalvärde: Obestämt"
58,Svampar,isabellporing,Anomoporia bombycina,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C1
59,Svampar,fransporing,Anomoloma myceliosum,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C1; D1
60,Kärlväxter,kamomillkulla,Anthemis cotula,Starkt hotad EN,x,,,,,,8§,,,,0-0,,"Rödlistekriterium 2020: A2b; B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)

Kamomillkulla (Anthemis cotula) är fridlyst enligt 8 § i hela landet."
61,Kärlväxter,stor sandlilja,Anthericum liliago,Starkt hotad EN,,,,x,,,8§,,,,0-0,,"Rödlistekriterium 2020: B2ab(iii,v)

Sandstäpp (6120)

Stor sandlilja (Anthericum liliago) är fridlyst enligt 8 § i hela landet."
62,Kärlväxter,taggkörvel,Anthriscus caucalis,Sårbar VU,x,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(i,ii,iii,iv,v)c(iv)"
65,Svampar,fläckporing,Anthoporia albobrunnea,Sårbar VU,,,,x,,,,,,,H-H,,"Rödlistekriterium 2020: A2c+3c+4c

Taiga (9010)

Signalvärde: Högt

Indikerar områden som är mer eller mindre opåverkade av skogsbruk och som har en kontinuitet av tallågor i olika nedbrytningstadier. Visar på tallnaturskogar med höga naturvärden. "
67,Svampar,sprickporing,Diplomitoporus crustulinus,Sårbar VU,,,,,,,,,,,H-MH,,"Rödlistekriterium 2020: A2c+3c+4c; C1

Signalvärde: Högt-Mycket högt"
68,Svampar,gulporig ticka,Diplomitoporus flavescens,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
70,Svampar,bomullsporing,Fibroporia gossypium,Kunskapsbrist DD,,,,,,,,,,,0-0,,
71,Svampar,urskogsporing,Neoantrodia infirma,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C1+2a(i)
72,Svampar,urskogsticka,Neoantrodia primaeva,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C1+2a(i)
73,Svampar,veckticka,Flavidoporia pulvinascens,Nära hotad NT,,,,x,,,,,,,P-P,,"Rödlistekriterium 2020: C1

Taiga (9010)

Signalvärde: Påtagligt

Veckticka signalerar nästan alltid höga naturvärden och förekommer ofta på lokaler med många andra ovanliga och rödlistade arter. Biotopen har ofta karaktär av gammal lövträdsrik naturskog men svampen kräver sannolikt ingen kontinuitet av asplågor, utan tycks vara relativt lättspridd. Arten kan därför uppträda på enstaka, spridda och isolerade asplågor eller rikligt inom områden med mycket gammal död asp."
78,Kärlväxter,selleri,Apium graveolens,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
79,Kärlväxter,krypfloka,Helosciadium inundatum,Sårbar VU,,,,,,,8§,,,,0-0,,"Rödlistekriterium 2020: A2b; B2ab(ii,iii,iv,v)

Krypfloka (Apium inundatum) är fridlyst enligt 8 § i hela landet."
80,Mossor,luden bandmossa,Metzgeria pubescens,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
81,Kärlväxter,gotlandstrav,Arabis planisiliqua,Starkt hotad EN,,,,,,,8§,,,,0-0,,"Rödlistekriterium 2020: B1ab(v)+2ab(v)

Gotlandstrav (Arabis planisiliqua) är fridlyst enligt 8 § i hela landet."
82,Mossor,liten jökelmossa,Arctoa anderssonii,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
83,Kärlväxter,hänggräs,Arctophila fulva,Sårbar VU,x,,,,"II, IV",,7§,,,,0-0,,"Rödlistekriterium 2020: B1ab(i,ii,iii,v)+2ab(i,ii,iii,v); D2

Arten är listad i bilaga 2 till art- och habitatdirektivet eftersom den har sådant unionsintresse att särskilda bevarandeområden behöver utses. Arten finns upptagen i bilaga 4 till art- och habitatdirektivet därför att den kräver noggrant skydd."
84,Kärlväxter,grusnarv,Arenaria humifusa,Nära hotad NT,,,,,"II, IV",,7§,,,,0-0,,"Rödlistekriterium 2020: B1a+2a

Arten är listad i bilaga 2 till art- och habitatdirektivet eftersom den har sådant unionsintresse att särskilda bevarandeområden behöver utses. Arten finns upptagen i bilaga 4 till art- och habitatdirektivet därför att den kräver noggrant skydd."
86,Kärlväxter,fjälltrift,Armeria scabra,Sårbar VU,,,,,,,8§,,,,0-0,,"Rödlistekriterium 2020: D2

Fjälltrift (Armeria maritima ssp. sibirica) är fridlyst enligt 8 § i hela landet."
88,Mossor,parbladsmossa,Arnellia fennica,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,v)"
89,Kärlväxter,klubbfibbla,Arnoseris minima,Starkt hotad EN,x,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(i,ii,iii,iv,v)c(iv)"
92,Kärlväxter,sandmalört,Artemisia stelleriana,Nationellt utdöd RE,,,,,,,,,,,0-0,,
93,Lavar,ekpricklav,Inoderma byssaceum,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
95,Lavar,cinnoberfläck,Coniocarpon cinnabarinum,Akut hotad CR,,,,,,,,,,,MH-MH,,"Rödlistekriterium 2020: A3bc+4bc

Signalvärde: Mycket högt"
96,Lavar,rödprick,Arthonia helvola,Nära hotad NT,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B1b(ii,iii,iv,v)+2b(ii,iii,iv,v); C1; D1"
98,Lavar,mörk rödprick,Arthonia incarnata,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: A2bc+4bc
101,Lavar,matt pricklav,Pachnolepia pruinata,Nära hotad NT,,,,x,,,,,,,P-P,,"Rödlistekriterium 2020: A2bc+3bc+4bc

Trädklädd betesmark (9070)

Signalvärde: Påtagligt

Påträffas främst på grov och hård bark av gamla jätteekar, men enstaka fynd har gjorts på grov bark på andra ädellövträd."
106,Kärlväxter,munkhätta,Arum cylindraceum,Nationellt utdöd RE,,,,,,,,,,,0-0,,
107,Svampar,myrmurkling,Ascocoryne turficola,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i)
109,Kärlväxter,paddfot,Asperugo procumbens,Nära hotad NT,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: A2b; B2ab(iii,v)"
110,Kärlväxter,glansbräken,Asplenium adiantum-nigrum,Nära hotad NT,,,,,,,8§,,,,0-0,,"Rödlistekriterium 2020: D1

Glansbräken (Asplenium adiantum-nigrum) är fridlyst enligt 8 § i hela landet."
111,Kärlväxter,brunbräken,Asplenium adulterinum,Sårbar VU,,,,,IV,,7§,,,,0-0,3,"Rödlistekriterium 2020: D1

Arten finns upptagen i bilaga 4 till art- och habitatdirektivet därför att den kräver noggrant skydd.

Arten är skyddsklassad vilket innebär att åtkomst till fynduppgifter måste begränsas. Koordinater som pekar ut platser där arten reproducerar sig får inte visas publikt med större noggrannhet än 5 x 5 km."
112,Svampar,stjärntagging,Asterodon ferruginosus,Nära hotad NT,,,,x,,,,,,,P-P,,"Rödlistekriterium 2020: A2c+3c+4c

Taiga (9010)

Signalvärde: Påtagligt

Stjärntagging är beroende av ett oförändrat fuktigt mikroklimat och en ständig tillgång på död ved i olika nedbrytningsstadier. Arten kräver gamla men inte orörda skogar, tidigare påverkan behöver dock ha varit så skonsam att det naturliga skogsekosystemet till stora delar bevarats."
114,Kärlväxter,sandvedel,Astragalus arenarius,Starkt hotad EN,,,,x,,,8§,,,,MH-MH,,"Rödlistekriterium 2020: B1ab(ii,iii,v)+2ab(ii,iii,v)

Sandstäpp (6120)

Sandvedel (Astragalus arenarius) är fridlyst enligt 8 § i hela landet.

Signalvärde: Mycket högt"
115,Kärlväxter,strandvedel,Astragalus danicus,Akut hotad CR,,,,,,,8§,,,,0-0,,"Rödlistekriterium 2020: C2a(i)

Strandvedel (Astragalus danicus) är fridlyst enligt 8 § i hela landet."
116,Kärlväxter,smällvedel,Astragalus penduliflorus,Sårbar VU,x,,,,,,8§,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,v)

Smällvedel (Astragalus penduliflorus) är fridlyst enligt 8 § i hela landet."
117,Svampar,mirakelskinn,Atheloderma mirabile,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
118,Kärlväxter,ryssbräken,Diplazium sibiricum,Sårbar VU,,,,,"II, IV",,7§,,,,MH-0,,"Rödlistekriterium 2020: D2

Arten är listad i bilaga 2 till art- och habitatdirektivet eftersom den har sådant unionsintresse att särskilda bevarandeområden behöver utses. Arten finns upptagen i bilaga 4 till art- och habitatdirektivet därför att den kräver noggrant skydd.

Signalvärde: Mycket högt"
119,Mossor,smal sågmossa,Atrichum angustatum,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i)
120,Kärlväxter,sandmålla,Atriplex laciniata,Sårbar VU,,,,,,,8§,,,,0-0,,"Rödlistekriterium 2020: D

Sandmålla (Atriplex laciniata) är fridlyst enligt 8 § i hela landet."
121,Svampar,saffransticka,Aurantiporus croceus,Akut hotad CR,,,,x,,,8§,,,,MH-MH,,"Rödlistekriterium 2020: A2c

Näringsrik ekskog (9160)

Saffransticka (Aurantioporus croceus) är fridlyst enligt 8 § i hela landet.

Signalvärde: Mycket högt

Exklusiv naturvårdsart på grova ekar med mycket höga naturvärden. Den förekommer bara på ek i områden med långvarig kontinuitet av gamla, grova träd. Svampen är sannolikt en relikt som idag är knuten till de mest exklusiva jätteekarna i eklandskapet. "
123,Kärlväxter,purrhavre,Avena strigosa,Nationellt utdöd RE,,,,,,,,,,,0-0,,
124,Lavar,kristall-lundlav,Bacidia absistens,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: A2bc; C1; D1
125,Lavar,mörk lundlav,Scutula effusa,Akut hotad CR,,,,,,,,,,,0-0,,Rödlistekriterium 2020: A3bc
128,Lavar,mjölig lundlav,Bacidina delicata,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
129,Lavar,fläderlundlav,Bacidia friesiana,Sårbar VU,,,,,,,,,,,O-O,,"Rödlistekriterium 2020: A2bc+3bc+4bc; D1

Signalvärde: Obestämt

Fläderlundlav växer främst på gamla flädrar i halvöppna hagmarker, betesmarker eller skogsbryn, men förekommer även på alm, ask och någon gång på asp. Barken är oftast svagt berikad av näringsrikt stoft. "
130,Lavar,savlundlav,Bellicidia incompta,Starkt hotad EN,,,,,,,,,,,MH-MH,,"Rödlistekriterium 2020: A3bc

Signalvärde: Mycket högt

Bokskogar med denna art har lång trädkontinuitet och hyser ofta många andra rödlistade lavar."
131,Lavar,granlundlav,Bacidia laurocerasi,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
132,Lavar,liten lundlav,Bacidina phacodes,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: A2bc+3bc+4bc; D1
133,Lavar,brun lundlav,Bacidia polychroa,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
134,Lavar,rosa lundlav,Bacidia rosella,Sårbar VU,,,,x,,,,,,,H-H,,"Rödlistekriterium 2020: A2bc+3bc+4bc

Nordlig ädellövskog (9020)

Signalvärde: Högt

Förekommer både i sluten ädellövskog och i öppnare miljöer som trädklädda betesmarker och alléer. Indikerar ädellövsmiljöer med lång kontinuitet."
135,Lavar,stiftkvistlav,Fellhaneropsis vezdae,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
137,Lavar,liten sönderfallslav,Bactrospora corticola,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
138,Lavar,stor sönderfallslav,Bactrospora dryina,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
140,Kärlväxter,revsvalting,Baldellia repens,Sårbar VU,,,,,,,8§,,,,0-0,,"Rödlistekriterium 2020: D2

Revsvalting (Baldellia repens) är fridlyst enligt 8 § i hela landet."
141,Kärlväxter,luddmålla,Spirobassia hirsuta,Nationellt utdöd RE,,,,,,,,,,,MH-0,,Signalvärde: Mycket högt
142,Lavar,mossbelonia,Gyalecta incarnata,Kunskapsbrist DD,,,,,,,,,,,0-0,,
145,Lavar,klosterlav,Biatoridium monasteriense,Sårbar VU,,,,x,,,,,,,H-MH,,"Rödlistekriterium 2020: A3bc+4bc

Lövängar (6530)

Signalvärde: Högt-Mycket högt

Lokalerna har lång kontinuitet på gamla träd, hög luftfuktighet och andra rödlistade lavar förekommer ofta tillsammans med klosterlaven."
147,Svampar,linddyna,Biscogniauxia cinereolilacina,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
149,Svampar,tallgråticka,Boletopsis grisea,Sårbar VU,,,,,,,,,,,H-MH,,"Rödlistekriterium 2020: A2c+3c+4c

Signalvärde: Högt-Mycket högt

En ""toppart"" som indikerar värdefulla tallnaturskogar på sand där det funnits ett ständigt inslag av äldre träd. I naturtillståndet var miljön präglad av regelbundet återkommande bränder, vilket mest berörde fält- och bottenskiktet och förhindrade igenväxning av gran. Arten påträffas nu främst i sönderhuggna restbestånd och då ofta i anslutning till någon kvarlämnad gammal tall."
150,Svampar,grangråticka,Boletopsis leucomelaena,Sårbar VU,,,,x,,,,,,,H-H,,"Rödlistekriterium 2020: A2c+3c+4c

Näringsrik granskog (9050)

Signalvärde: Högt

Indikerar kalkrik mark med långvarig kontinuitet av äldre gran."
151,Svampar,bronssopp,Butyriboletus appendiculatus,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: C2a(i)
152,Svampar,sommarsopp,Butyriboletus fechtneri,Sårbar VU,,,,,,,,,,,MH-MH,,"Rödlistekriterium 2020: A2c+3c+4c; C1+2a(i)

Signalvärde: Mycket högt

Arten är sällsynt och växer främst med ek och bok på kalkrik mark i varma lägen."
154,Svampar,bleksopp,Hemileccinum impolitum,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: A2c+3c+4c
156,Svampar,falsk djävulssopp,Rubroboletus legaliae,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
158,Svampar,flamsopp,Suillellus queletii,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
159,Svampar,rotsopp,Caloboletus radicans,Nära hotad NT,,,,,,,,,,,H-H,,"Rödlistekriterium 2020: A2c+3c+4c; C2a(i)

Signalvärde: Högt

Arten är sällsynt och växer främst med ek och bok  (sällan med lind eller avenbok) på kalkrik mark i varma lägen."
160,Svampar,rosensopp,Rubroboletus rhodoxanthus,Starkt hotad EN,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
161,Svampar,djävulssopp,Rubroboletus satanas,Starkt hotad EN,x,,,,,,,,,,MH-MH,,"Rödlistekriterium 2020: C2a(i)

Signalvärde: Mycket högt

Indikerar varma, kalkrika lokaler med långvarig kontinuitet av gammal skogsek. Djävulssoppen är en sydlig och värmekrävande art som i Sverige är funnen huvudsakligen på Gotland och Öland där den uppträder regelbundet på några få lokaler samt en nyupptäckt lokal i en lindallé i Uppsala."
163,Svampar,långgömming,Bombardia bombarda,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
164,Kärlväxter,nordlåsbräken,Botrychium boreale,Nära hotad NT,x,,,x,,,,,,,H-H,,"Rödlistekriterium 2020: C2a(i)

Alpina kalkgräsmarker (6170)

Signalvärde: Högt"
165,Kärlväxter,topplåsbräken,Botrychium lanceolatum,Sårbar VU,x,,,x,,,8§,,,,MH-MH,,"Rödlistekriterium 2020: C2a(i)

Kalkgräsmarker (6210)

Topplåsbräken (Botrychium lanceolatum) är fridlyst enligt 8 § i hela landet.

Signalvärde: Mycket högt"
166,Kärlväxter,rutlåsbräken,Botrychium matricariifolium,Sårbar VU,x,,,x,,,8§,,,,H-H,,"Rödlistekriterium 2020: A2b; B2b(ii,iii,iv,v)c(iv); C2a(i)

Kalkgräsmarker (6210)

Rutlåsbräken (Botrychium matricariifolium) är fridlyst enligt 8 § i hela landet.

Signalvärde: Högt"
167,Kärlväxter,höstlåsbräken,Botrychium multifidum,Nära hotad NT,,,,x,,,8§,,,,H-H,,"Rödlistekriterium 2020: A2bc+4abc

Torra hedar (4030)

Höstlåsbräken (Botrychium multifidum) är fridlyst enligt 8 § i hela landet.

Signalvärde: Högt"
168,Kärlväxter,dvärglåsbräken,Botrychium simplex,Starkt hotad EN,x,,,,"II, IV",,7§,,,,MH-MH,3,"Rödlistekriterium 2020: B2ab(i,ii,iii,iv,v)c(iii,iv); C1

Arten är listad i bilaga 2 till art- och habitatdirektivet eftersom den har sådant unionsintresse att särskilda bevarandeområden behöver utses. Arten finns upptagen i bilaga 4 till art- och habitatdirektivet därför att den kräver noggrant skydd.

Arten är skyddsklassad vilket innebär att åtkomst till fynduppgifter måste begränsas. Koordinater som pekar ut platser där arten reproducerar sig får inte visas publikt med större noggrannhet än 5 x 5 km.

Signalvärde: Mycket högt"
169,Kärlväxter,stor låsbräken,Botrychium virginianum,Sårbar VU,,,,,,,8§,,,,H-MH,,"Rödlistekriterium 2020: C2a(i)

Stor låsbräken (Botrychium virginianum) är fridlyst enligt 8 § i hela landet.

Signalvärde: Högt-Mycket högt"
170,Svampar,sumpäggsvamp,Bovista paludosa,Nära hotad NT,,,,,,,,,,,H-H,,"Rödlistekriterium 2020: C2a(i)

Signalvärde: Högt

En god indikatorart för extremrikkärr."
172,Kärlväxter,fjällkrassing,Braya linearis,Nära hotad NT,,,,,"II, IV",,7§,,,,0-0,,"Rödlistekriterium 2020: B2a

Arten är listad i bilaga 2 till art- och habitatdirektivet eftersom den har sådant unionsintresse att särskilda bevarandeområden behöver utses. Arten finns upptagen i bilaga 4 till art- och habitatdirektivet därför att den kräver noggrant skydd.

Fjällkrassing (Braya linearis) är fridlyst enligt 7 § i hela landet."
173,Kärlväxter,renlosta,Bromus arvensis,Starkt hotad EN,x,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(i,ii,iii,iv,v)c(iv)"
175,Kärlväxter,brinklosta,Bromus commutatus,Starkt hotad EN,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(i,ii,iii,iv,v)c(i,ii,iv)"
177,Kärlväxter,ängslosta,Bromus racemosus,Starkt hotad EN,,,,,,,8§,,,,0-0,,"Rödlistekriterium 2020: B1ab(iii,iv)c(iv)+2ab(iii,iv)c(iv)

Ängslosta (Bromus racemosus) är fridlyst enligt 8 § i hela landet."
178,Kärlväxter,skugglosta,Bromopsis ramosa,Nära hotad NT,,,,,,,,,,,H-H,,"Rödlistekriterium 2020: B2ab(iii,v)

Signalvärde: Högt"
179,Kärlväxter,råglosta,Bromus secalinus,Starkt hotad EN,x,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,iv,v)c(i,iii,iv)"
181,Mossor,stor fotmossa,Bryoerythrophyllum alpigenum,Sårbar VU,,,,,,,,,,,0-0,,Rödlistekriterium 2020: D1
183,Mossor,texasmossa,Haplocladium microphyllum,Nationellt utdöd RE,,,,,,,,,,,0-0,,
184,Lavar,broktagel,Bryoria bicolor,Starkt hotad EN,,,,,,,,,,,MH-MH,,"Rödlistekriterium 2020: A3bc

Signalvärde: Mycket högt

Indikerar hög och jämn luftfuktighet. När laven förekommer som epifyt är det nästan uteslutande i mycket gamla skogar."
185,Lavar,violettgrå tagellav,Bryoria nadvornikiana,Nära hotad NT,,,,x,,,,,,,P-P,,"Rödlistekriterium 2020: A2bc+3bc+4bc

Taiga (9010)

Signalvärde: Påtagligt

Violettgrå tagellav är en utmärkt signalart på skog med höga naturvärden och växer nästan uteslutande i gamla, olikåldrade barrnaturskogar med lång skoglig kontinuitet. Skogen kan dock vara lindrigt påverkad av selektiva huggningar i äldre tid."
186,Lavar,glanstagel,Bryoria nitidula,Starkt hotad EN,x,,,,,,,,,,0-0,,Rödlistekriterium 2020: D
187,Lavar,stiftbroktagel,Bryoria smithii,Akut hotad CR,,,,,,,,,,,0-0,3,"Rödlistekriterium 2020: D

Arten är skyddsklassad vilket innebär att åtkomst till fynduppgifter måste begränsas. Koordinater som pekar ut platser där arten reproducerar sig får inte visas publikt med större noggrannhet än 5 x 5 km."
188,Lavar,långt broktagel,Bryoria tenuis,Starkt hotad EN,x,,,,,,,,,,0-0,,Rödlistekriterium 2020: A2bc+4bc
